Наименование,Цена,Единица,Категория,Комментарий
Поликарбонат,1100,м²,Кровля,Цена за листовой материал
Металлочерепица,1300,м²,Кровля,Цена за материал кровли
Профнастил,900,м²,Кровля,Цена за материал кровли
Кровельная пленка,120,м²,Кровля,Гидроизоляция
Саморезы кровельные,6,шт,Крепеж,Оцинкованные

Труба 60x60,180,м,Металлопрокат,Стойки 60x60
Труба 80x80,280,м,Металлопрокат,Стойки 80x80
Труба 100x100,420,м,Металлопрокат,Стойки 100x100
Труба 40x20,85,м,Металлопрокат,Обрешетка/прогоны
Труба 20x20,55,м,Металлопрокат,Прогоны/перемычки
Листовой металл 2мм,2500,м²,Металлопрокат,Пластины/косынки

Бетон,4500,м³,Материалы,Бетон для основания
Арматура 12мм,95,м,Материалы,Каркас фундамента
Песок,900,м³,Материалы,Подготовка основания
Щебень,1200,м³,Материалы,Подсыпка
Краска,450,кг,Материалы,Порошковая краска
Полимерная краска,1200,кг,Материалы,Полимерное покрытие
Грунт,180,кг,Материалы,Антикор
Метизы,150,комплект,Материалы,Крепеж

Монтаж,2500,м²,Работы,Услуга установки
Сварка,350,м,Работы,Сварочные работы
Фундамент,4000,шт,Работы,Фундаментные работы
Бетонирование,1200,м³,Работы,Заливка фундамента
Покраска,450,м²,Работы,Покрасочные работы
Проектирование,15000,услуга,Работы,Чертежи/3D

Откатные ворота,8500,м²,Ворота,Изготовление и монтаж
Распашные ворота,6500,м²,Ворота,Изготовление и монтаж
Секционные ворота,7500,м²,Ворота,Изготовление и монтаж
Калитка встроенная,12000,шт,Ворота,Встроенная калитка
Калитка отдельная,18000,шт,Ворота,Отдельно стоящая
Заполнение профлист,0,м²,Ворота,Включено в базовую цену
Заполнение решетка,800,м²,Ворота,Надбавка за решетку
Заполнение ковка,2500,м²,Ворота,Надбавка за ковку
Заполнение комбинированное,1500,м²,Ворота,Профлист + ковка

Автоматика (комплект),35000,комплект,Автоматика,Базовый комплект
Двигатель откатных ворот,28000,шт,Автоматика,Привод
Редуктор,6500,шт,Автоматика,Узел привода
Рейка зубчатая,900,м,Автоматика,Для откатных
Блок управления,8500,шт,Автоматика,Контроллер
Фотоэлементы,3500,комплект,Автоматика,Безопасность
Сигнальная лампа,2200,шт,Автоматика,Предупреждение
Пульт ДУ,900,шт,Автоматика,Передатчик
Ключ-выключатель,1800,шт,Автоматика,Внутренний доступ
Домофон/видеодомофон,18000,комплект,Автоматика,Опция
АКБ резерв,9000,шт,Автоматика,Бесперебойное питание

Фурнитура откатных (комплект),18000,комплект,Фурнитура,Ролики/ловители/направляющая
Ролики опорные,2500,комплект,Фурнитура,Откатные
Ролик направляющий,1200,шт,Фурнитура,Откатные
Ловитель верхний,800,шт,Фурнитура,Откатные
Ловитель нижний,800,шт,Фурнитура,Откатные
Каретка роликовая,3200,шт,Фурнитура,Откатные
Петли распашные,750,шт,Фурнитура,Распашные
Замок,2500,шт,Фурнитура,Калитка/ворота
Ручка,600,шт,Фурнитура,Калитка/ворота

Доставка база,5000,услуга,Логистика,Базовая доставка
Доставка км,50,км,Логистика,Цена за километр
Выезд замерщика,2000,услуга,Логистика,Замер на объекте
